clause_type,example_1,example_2,instruction,parameters
contact_change,Either party must inform the other of any change in address or contact details {notice_period}.,Failure to update contact information shall not invalidate notices sent to the last known address.,a clause addressing updates to contact information,notice_period
address_proof,The Borrower shall provide valid address proof at the time of signing this Agreement.,Proof of residence must be furnished in the form of utility bills or official ID.,a clause requiring submission of address proof,
email_notice_validity,Notices sent to the registered email ID shall be deemed valid and received within 48 hours.,Email communications acknowledged by the recipient shall hold legal validity under this Agreement.,a clause validating email as official notice medium,
severability,"If any provision is found invalid, the remaining provisions shall continue in full force and effect.",Invalidity of any clause shall not affect the enforceability of the rest of the Agreement.,a clause ensuring the agreement's validity if one part is unenforceable,
entire_agreement,This document represents the complete understanding between the parties and supersedes prior discussions.,No other verbal or written agreements shall be considered binding unless incorporated herein.,a clause asserting that this document is the final agreement,
successors_assigns,The terms of this Agreement shall bind and benefit the successors and permitted assigns of the parties.,"This Agreement shall remain enforceable upon heirs, administrators, and legal representatives.",a clause binding the agreement on future parties,
confidentiality_clause,Both parties agree to keep the terms of this loan and all related information confidential.,Disclosure of this Agreement is restricted except when required by law or regulatory bodies.,a clause about maintaining confidentiality of agreement details,
loan_closure_procedure,"Upon repayment, the Lender shall issue a no-dues certificate and return all original documents.","The loan shall be marked as closed in writing, and collateral shall be released {notice_period}.",a clause explaining the procedure for closing the loan,notice_period
exit_penalty,An exit penalty of 2% shall be charged if the loan is closed before the agreed term.,No exit charges apply if closure is made after 75% of tenure completion.,a clause specifying penalty for premature exit from the agreement,
foreclosure_rights,The Lender retains the right to foreclose the loan upon default or misuse of funds.,Foreclosure may occur after giving a 15-day notice if the Borrower violates loan conditions.,a clause reserving the right to foreclose the agreement,
settlement_mode,Settlement shall be made through {preferred_channels} to the Lender’s account.,All payments must be completed via {preferred_channels} by the Borrower.,a clause specifying payment settlement methods,preferred_channels
force_majeure,Neither party shall be liable for non-performance due to events beyond their control.,"Acts of God, war, or government regulations shall be treated as force majeure events.",a clause that exempts liability under extraordinary events,
indemnity_clause,The Borrower agrees to indemnify the Lender against any losses arising {start_date}misrepresentation or fraud.,All damages incurred due to breach shall be recoverable {start_date}the Borrower by way of indemnity.,a clause that indemnifies the lender from borrower’s actions,start_date
liability_limitation,The Lender’s liability shall not exceed the total {loan_amount} sanctioned under this Agreement.,Under no circumstances shall the Lender be liable for indirect or consequential damages.,a clause limiting the liability of the Lender,loan_amount
waiver_of_defenses,The Borrower waives any defenses based on invalidity of this Agreement except as per applicable law.,Failure to enforce a clause does not constitute waiver of enforcement in future.,a clause where borrower waives specific legal defenses,
mode_of_payment,The Borrower shall make repayments via {repayment_frequency} ECS or auto-debit mandate.,All {number_of_installments} shall be paid through electronic means into the Lender’s designated account.,a clause specifying how loan repayments must be made,"number_of_installments, repayment_frequency"
escrow_instructions,Loan proceeds shall be disbursed into an escrow account managed jointly by both parties.,Escrow terms shall be governed by a separate agreement executed alongside this document.,a clause involving escrow account instructions,
EMI_adjustments,EMI amounts may be revised if interest rates change under floating rate regime.,Borrower shall be notified 30 days prior to any EMI increase due to schedule adjustments.,a clause about adjusting EMI terms or amounts,
rounding_rules,All amounts shall be rounded to the nearest rupee for invoicing and repayment purposes.,Cents or paise shall be disregarded for the sake of convenience in all calculations.,a clause outlining rounding off rules for payment,
affirmative_covenant,The Borrower agrees to submit annual income proof and loan utilization reports.,Borrower shall ensure that all statutory dues are paid during the loan tenure.,a clause detailing affirmative obligations of the borrower,
negative_covenant,The Borrower shall not take additional loans without prior written consent of the Lender.,No material changes to asset structure shall be made during the loan period without approval.,a clause restricting the Borrower from certain actions,
financial_reporting,{repayment_frequency} financial statements must be submitted to the Lender for review.,The Borrower must maintain transparent accounts and provide access for inspection.,a clause requiring financial reporting,repayment_frequency
change_of_control,"In the event of change in ownership, the Borrower shall notify the Lender {notice_period}.",Change of control shall constitute an event requiring reassessment of the loan terms.,a clause addressing business ownership changes,notice_period
jurisdiction,All disputes shall be subject to the exclusive jurisdiction of courts at Mumbai.,This Agreement shall be governed under the jurisdiction of Delhi High Court.,a clause defining the legal jurisdiction,
dispute_resolution,Disputes arising out of this Agreement shall be resolved through mutual consultation.,"In case of disagreement, the parties shall explore alternate dispute resolution mechanisms.",a clause for resolving disputes between parties,
arbitration_clause,All disputes shall be referred to a sole arbitrator appointed mutually by the parties.,"Arbitration shall be conducted in accordance with the Arbitration and Conciliation Act, 1996.",a clause referring disputes to arbitration,
governing_law,This Agreement shall be governed by and construed in accordance with Indian Law.,The provisions herein are subject to the applicable laws of the Republic of India.,a clause specifying applicable governing laws,
