clause_type,example_1,example_2,instruction,parameters
water_usage,Water usage should be restricted to domestic purposes only.,Using borewell or unauthorized plumbing shall be deemed a violation.,Clause on water usage limitations or standards.,Water_Usage_Type
electricity_usage,Electricity consumption beyond 300 units shall be borne additionally by Lessee.,Excess power usage shall be adjusted against monthly rental bill.,Clause describing electricity billing arrangement.,Electricity_Limit
renewal_terms,Lease may be renewed upon mutual agreement for an additional 11 months.,"On expiry, a fresh lease agreement must be executed if extended.",Clause for renewal of agreement after lease period.,Renewal_Term
key_handback,All keys shall be returned to the Lessor on termination without duplication.,Lessee must return all duplicate keys and get acknowledgement.,Clause on returning original keys to landlord.,Duplicate_Key_Count
parking_clause,Lessee is allowed parking for one car only in designated area.,No more than one vehicle is allowed per flat in parking.,Clause outlining vehicle parking terms.,Allowed_Vehicles
security_measures,Lessor shall ensure round-the-clock security through CCTV and guards.,Surveillance shall be conducted at entry and exit points of the property.,Clause about security arrangements by landlord.,Security_Measures
cleanliness_clause,Lessee must keep premises clean and hygienic during the tenancy.,Lessee must not create unhygienic or hazardous living conditions.,Clause on tenant's cleanliness and hygiene responsibilities.,Cleanliness_Level
inspection_rights,Lessor has the right to inspect the flat once every quarter.,Owner may request quarterly walkthrough of the flat to ensure upkeep.,Clause about scheduled inspections by landlord.,Inspection_Frequency
government_compliance,The premises shall comply with all municipal and regulatory standards.,Lessee must get approval for any changes to layout from municipality.,Clause ensuring municipal/legal compliance of property.,Compliance_Body
commercial_activity_ban,Commercial use of premises is strictly prohibited and leads to termination.,Running shops or tuition classes in the apartment is banned.,Clause banning commercial activities on residential premises.,Allowed_Use_Type
damage_liability,Lessee shall be liable for damage caused due to negligence.,Tenant must compensate for any broken fittings or cracked tiles.,Clause stating liability for damages by tenant.,Damage_Compensation
fire_exit_access,Fire exits shall not be blocked or obstructed at any time.,No storage near fire exits shall be permitted by society.,Clause mandating clear fire escape access.,Exit_Obstruction
default_event,"In case of default in rent for 2 consecutive months, eviction may be initiated.",Repeated defaults may be recorded and lease cancelled after due process.,Clause defining default and termination on missed payments.,Default_Months
lease_dispute,Disputes shall be first resolved through mediation and then legal recourse.,Conflicts will be first handled via mutual discussion before legal notice.,Clause for resolving disputes through mediation.,Dispute_Mode
legal_jurisdiction,This Agreement shall be governed by laws applicable in the State of Delhi.,The courts of Delhi shall have exclusive jurisdiction over all matters.,Clause about legal jurisdiction of disputes.,Jurisdiction_City
governing_law,All provisions shall be interpreted in accordance with Indian Contract Act.,This agreement follows provisions of Transfer of Property Act and Rent Control Acts.,Clause stating applicable legal framework.,Governing_Law
agreement_binding,This lease constitutes the entire agreement between both parties.,No previous verbal commitments shall override this written agreement.,Clause affirming complete understanding of agreement.,Agreement_Scope
heir_responsibility,"This agreement shall also bind heirs, successors, and legal representatives.","In case of death, nominee or heir must honor the lease conditions.",Clause binding agreement on legal successors.,Successor_Binding
agreement_amendment,Any amendment shall be in writing and signed by both parties.,Changes to terms will not be valid unless agreed in writing.,Clause stating conditions for valid amendments.,Amendment_Condition
agreement_language,This agreement shall be executed in English only.,Only English version of this lease shall be admissible in disputes.,Clause specifying language of execution.,Language
communication_method,Notices shall be served via registered post or email.,Electronic mail and courier are valid means of service of notice.,Clause on official means of communication.,Communication_Mode
termination_on_sale,"If the property is sold, this lease stands terminated with 2 months’ notice.",Owner shall notify the Lessee if sale is intended 60 days in advance.,Clause allowing termination if property is sold.,Termination_Notice
force_majeure,Neither party shall be held liable for events beyond their control (Force Majeure).,"Flood, earthquake, or war-like events shall be considered Force Majeure.",Clause excusing liability under uncontrollable events.,Force_Majeure_Events
